city	country	description	location	state	state_abbrev	longitude	latitude	city_longitude	city_latitude	haunted_places_date
Bay City	United States	white objects seen entering plant, very creepy feeling, some people who have went inside have came out frightened	old water treatment plant	Michigan	MI	-83.8741012	43.6258078	-83.8888647	43.5944677	2025/01/01
Bay City	United States	The legend of the Bloody Hand. For years there has been talk of the appearance of a bloody hand in the church sacristy and in the church basement as well.	Our Lady of the Visitation Church	Michigan	MI	-83.8945444	43.616625	-83.8888647	43.5944677	2025/01/01
Bellaire	United States	The Richardi House (now known as The Grand Victorian Bed & Breakfast) is rumored to be haunted by Henri Richardi. Richardi built the house for his intended bride. When she left him for another man, he was heartbroken. Strange lights were seen in the cupola when the house was uninhabited (before being turned into a Bed & Breakfast).	Richardi House	Michigan	MI	-85.209954	44.980443	-85.2111728	44.9802822	2025/01/01
Dearborn	United States	The old Rouge Power House blew up in 2001 and several people died that day. If you park on Miller road late at night in front of this building you can hear vicious screams of the people thrown onto the street from the blast.	Ford Rouge Plant	Michigan	MI	-83.233109	42.303109	-83.17631449999999	42.3222599	2001/01/01
Dearborn	United States	The overpass bridge also has haunting facts from the day Walter Reuther was beaten up by Harry Bennett's thugs. It is said that people who use this bridge late at night get an eerie feeling of being pushed from behind and a strange voice yells at them.	Ford Rouge Plant – Overpass Bridge	Michigan	MI	-83.233109	42.303109	-83.17631449999999	42.3222599	2025/01/01
Dearborn	United States	Cold spots felt. One of the most recent encounters was in one of the seventh grade classrooms. The teacher left the room to copy some papers. Right after he left, the door connecting to of the rooms together flew open. When some of the students checked, no one could've gotten into that room. They sat back down, and again, the door moved a little. Right after, the students heard faint whispering.	O.L. Smith Middle School	Michigan	MI	-83.2683124	42.2879006	-83.17631449999999	42.3222599	2025/03/01
Belding	United States	In the Children's section, downs stairs, sometimes you hear a small girl laughing when you are there alone. Books fall off the selves and you feel like there is someone in the room who wants you to go away even thought there is no one there.	Belding Library	Michigan	MI	-85.2268185	43.09784639999999	-85.228906	43.0978094	2025/01/01
Belleville	United States	Go down Denton Rd. at midnight and stop when you see the old road at the bottom of the hill on Denton Rd. (Unknown name of road but it's by the old cemetery) stop turn off all lights and get out of your car wait about 1-10 min. and you will see a glow float down the old road at the bottom of the hill.	94 &amp; Denton Rd.	Michigan	MI	-94.819713	45.66820509999999	-83.4852133	42.2047619	0150/02/24
Belleville	United States	Denton Rd. - There's an overall bad feeling in this cemetery. If you take a camera (preferably digital) and take pictures, you'll see orbs everywhere. There's a specific large, greenish orb that shows up in photographs quite a bit.	Cemetery off S. Service Drive	Michigan	MI	-83.522807	42.2167069	-83.4852133	42.2047619	2025/01/01
Belleville	United States	When the street is dark and no one is around you can put your car in park and turn you head-lights on get out of your car and stand in front of the car and you can see another car come towards you and drive right through you and your car and then disappear in seconds.	Robson Rd	Michigan	MI	-83.47570929999999	42.2414323	-83.4852133	42.2047619	2025/01/01
Belleville	United States	ghosts dressed in white can be seen walking through the cemetery. It always vanishes into the tallest grave there. The ghost(s) follows vehicles that drive in there at night.	Tyler Rd. Cemetery	Michigan	MI	-83.4298354	42.2373832	-83.4852133	42.2047619	2025/01/01
Berville	United States	An abandoned farm house located 2 miles north of Berville where a very ill 12 year old boy had died in his sleep. Drive past this house at around 1 A.M. when it is said the boy died and you may catch a glimpse of lights flickering in the windows. Inside you can hear a faint whispering, footsteps upstairs, and things will move in the house including doors being opened that were closed. enter the boys bedroom at the end of the upstairs hall and experience an overwhelming cold chill and sudden sad emotions at times.	Berville Rd.	Michigan	MI	-82.88573939999999	42.9232364	-82.8829846	42.9083621	2025/05/24
Big Rapids	United States	Reports of a woman crying for help, cold chills, weird noises and intense feelings when exploring the basement, which was once opened to tunnels that ran underneath the entire town but have since been filled in.	Big Rapids Cinema	Michigan	MI	-85.4815053	43.6964729	-85.4836557	43.6980782	2025/01/01
Big Rapids	United States	Voices are heard often.  Shadows of people walking. The sound of high heels down the hallway in the back.  A woman in dark clothing wearing white nylons and black heels.  Things have been reported to fall for no reason.	Ponderosa	Michigan	MI	-85.3960578	44.2451965	-85.4836557	43.6980782	2025/01/01
Big Rapids	United States	"The apartments are very close to Ferris State University and have many students staying there.  Residents have heard a young lady or small child clearly say ""Hi"" behind them in the apartment. When they all turned to look no one was there."	Rapids Apartments	Michigan	MI	-85.4856063	43.6901794	-85.4836557	43.6980782	2025/01/01
Birmingham	United States	House built in 1920. Originally inhabited by Margaret parks who owned Parks Cole Company in downtown Birmingham around the same period. Countless paranormal experiences in the home. For example: lights turning on and off by themselves, curtains opening as if someone where looking out{nobody being home that is). , cold spots , ghostly apparitions both male and female, items vanishing and reappearing ( items of small size ), a strand of bells ringing in early morning hours. This is only to name a few. Also witnessed by many people. Home at a later date became the Michigan metaphysical society.	Adams house	Michigan	MI	-83.205793	42.541766	-83.21131919999999	42.5467012	1920/01/01
Bloomfield	United States	A side street north of 16 mile on Woodward holds a very creepy place called Trowbridge. It is a very rich area an local kids that were depressed would jump off the bridge which was a 100 ft. drop to there death, one instance on a Sunday from 8p.m until 12 midnight every half hour on the hour a kid would commit suicide until midnight when the train came an dismembered there corpses. The kids would spray paint there names or something to be remembered by on the wall. It is on a street called Trowbridge, very creepy street with huge houses take it down half a mile an on the left hand side before the street ends is the bridge. Go at your own risk because the place has been known to have many freaky occurrences an not to mention a monks monastery about a mile down the road. - October 2003 Update: The Police DO issue trespassing tickets for $250.00 because the train bridge and tracks are federal property and by being on it you are trespassing on federal property. - February 2004 Update: Police patrol there quite frequently and the neighbor across the street won't hesitate to call them.	Trowbridge Road	Michigan	MI	-83.2342207	42.5778303	-83.2827093	42.5793103	2003/10/01
Bloomfield	United States	"Sacred Heart Academy - There is a statue of Mary with her hands raised in the air.. (You can see it as you drive by, its in the front yard.) The urban legend goes that there were 2 young boys playing by the statue. They were supposed to come home when the streetlights come on but never did. The parents started looking for them and found a bloody message on the base of this statue that said ""Don't let your kids play after dark"". With the fingers of the statue cut off and blood coming out. If you go there today you'll see the fingers cut off and the eyes gouged out.- August 2005 Update: This is believed to be a hoax. a visitor to our site reports the hands of the statue are intact."	Trowbridge Road	Michigan	MI	-83.2342207	42.5778303	-83.2827093	42.5793103	2005/08/01
Borculo	United States	What used to be an old, one-room schoolhouse, is now said to inhibit guests from the paranormal realm. It is said a former teacher, by the name of Ms. Van moss, would abuse the children so badly that one day after a playground mishap, Vanmoss struck a child so hard in the head that the child died immediately. Today, the schoolhouse is a well know restaurant, but the customers report seeing a small child sitting solemnly alone at a booth in the corner. There have also been reports of silver wear being randomly thrown across the room.	The Old School House	Michigan	MI	-86.013767	42.885003	-86.0211532	42.8850235	2025/01/01
Breckenridge	United States	Used to be the elementary school but in 1994 they built a new one and now it is a school for mental teenagers, and a place for events. It was said A few years after the school was built(1936)there was a little space in the wall that they boarded up, and some kid unbounded it and shoved another kid in there then boarded it back up, The kid died in the hole and a while later they found him, Now if you go in there by yourself the lockers open and close by themselves and you can here kids laughing, sometimes the toilets flush by themselves and the sinks turn on and off by themselves.	AIM School	Michigan	MI	-84.47591539999999	43.4146517	-84.4749978	43.4080849	1994/01/01
Bridgeport	United States	there is said to be in the first years the school was built the principal was accidentally killed by a teacher....Now all the teachers that have problems with the principal face in school injuries like falling and breaking bones.	Bridgeport High School	Michigan	MI	-83.8698136	43.3553067	-83.88163639999999	43.3594696	2025/01/01
Bridgeport	United States	"There had been said to be seen a little girl wondering the cemetery saying, ""Help me”. Seen by a young teenager."	Cole Rd. Cemetery	Michigan	MI	-83.063823	42.516651	-83.88163639999999	43.3594696	2025/01/01
Brighton	United States	before the death sentence was revoked in Michigan hundreds of inmates died in the prison. Rumors of ghost hitchhikers are known to be on the road leading to the prison. These are the souls of inmates executed while attempting escape.	Brighton Women's correctional institute	Michigan	MI	-83.6954277	42.5191232	-83.7802214	42.5294773	0100/02/24
Brimley	United States	Point Iroquois Lighthouse, outside of Brimley is said to be haunted, there is a story about a ghost girl who was eaten by a bear, the bear was later killed and parts of the girl where discovered inside. The site is also the location of an Indian battle, which took place in the 1600's, where the Ojibwe and Iroquois had a battle, and the Iroquois's where slaughtered. The lighthouse has had cold spots and figures have been seen.	Point Iroquois Lighthouse	Michigan	MI	-84.6321703	46.484246	-84.6920059	46.3740542	0295/02/24
Brooklyn	United States	in the house its said that there are noises that can be heard in a closet and the attic. And it is said that a man killed 3 people in the house and then himself. And so now the man is looking all over the house for the 3 people so he can kill them again.	Clarklake	Michigan	MI	-84.2482819	42.105874	-84.2482819	42.105874	2025/02/03
Brownstown	United States	Back in the early 90's there was a rumor heard of a man with a ax walking around in the woods and every time a kid from the neighborhood walked into the woods they would see him for a split second but then the face disappeared it was said that someone actually got it on video tape but now you only see it during a full moon you can see an extra shadow walking besides you with a man and a axe.	Dawnshire Park	Michigan	MI	-83.220996	42.1663269	-83.2572332	42.1261157	2025/01/01
Brownstown	United States	Rumors of a little boy and a tall man are said to haunt oak ridge anytime from about 9:00pm to 3:00 am.	Oak ridge cemetery on Telegraph	Michigan	MI	-83.269511	42.131493	-83.2572332	42.1261157	2025/02/24
Brownstown	United States	there are hauntings all threw out the park. Apparitions of people walking up and down the streets late hours of the night.	Tela Valley	Michigan	MI	-83.2619069	42.177167	-83.2572332	42.1261157	2025/01/01
Burton	United States	ticking clocks that are not there. Things will turn on by them self.	Naturally You	Michigan	MI			-83.6163423	42.99947179999999	2025/01/01
Byron	United States	There was a man named Nick Bradon that lived and built the house, he was plowing the field when he fell of the tractor and got ran over with the blades of the plow. There are reports of lights that go on and off, rocking chairs that rock on their own, foot steps, and there have been reports if people sleeping in the upstairs rooms have seen figure of people watching over them.	McGuire's House	Michigan	MI			-83.9444027	42.8228091	2025/01/01
Calumet	United States	As you go in the old place back in 1903 a man was murdered but all sorts of orbs were seen and sightings and even screaming in the break of the night as you still go there you can hear screams and screams of a young girl that had died there her name was Elanda Rowe. The ghost of the great actress Helena Modjeska has also been seen here and is considered the resident ghost.	Calumet theatre	Michigan	MI	-88.45344229999999	47.24782339999999	-88.45400599999999	47.24659219999999	1903/01/01
Canton	United States	many legends about this rd. the bridge is said to be haunted by a woman who's child was killed by a car, she walks the bridge and you can hear the baby cry. dark figures chase your car and there is said to be a house on a side rd. that is haunted	Denton rd	Michigan	MI	-83.52522599999999	42.2853235	-83.48211599999999	42.3086444	2025/01/01
Canton	United States	The story goes that a group of kids were playing chicken near Denton Road bridge, and one of them proved to be chicken. His car swerved off the road when they reached the bridge, and crashed into the river below. Many people claim to see a light come out of river and chase their vehicle to the end of the road, if they stop at the center of the bridge at night.- November 2003 Update: the road has been reconfigured in that area and that the bridge no longer exists. That is not to say that the hauntings no longer occur.	Denton Road Bridge	Michigan	MI	-83.52522599999999	42.2853235	-83.48211599999999	42.3086444	2003/11/01
Canton	United States	Old Frank's Nursery & Crafts - Employees of this store were said to hear moaning after closing, along with merchandise falling off shelves. Other employees even said to be pushed by the spirit.	Ford Road	Michigan	MI	-83.4895295	42.3218667	-83.48211599999999	42.3086444	2025/01/01
Canton	United States	Reports of whispers heard and cars being pushed.	Gyde Rd.	Michigan	MI	-83.5177329	42.3428997	-83.48211599999999	42.3086444	2025/01/01
Cass City	United States	Back in the 1800's a young lady got in a horse and buggy accident. Her buggy wheel went off the bridge and flipped, she drown in 2 feet of water. On foggy summer night you can see her hand come up over the road and hear her please for help!	Crawford Rd. bridge	Michigan	MI	-83.1334217	43.5727986	-83.17466929999999	43.6008515	1800/01/01
Central Lake	United States	The Lamplights Inn has been a landmark in Central Lake since 1924. It was built in the very early 1900s. Beginning in the early '50s, the successive owners have had persistent reports of ghosts. A man and woman dressed in late '20s - early '30s garb have been seen many times over the years, not only by owners' families, but also by employees and customers alike. The descriptions are uncannily similar. A customer recently reported the man and woman ghosts dancing together in the bar area with a little girl ghost looking on. These ghosts also window peep (on the second floor). They certainly appear to be fun loving. Another story tells of the daughter of a former hotel manager, who was preparing to elope with her fiancée, and tripped on her gown while descending the ladder. She fell to her death and returns to walk the hallway upstairs in her wedding gown. And, it is a fact that Mrs. Gill who, with her husband, were the first managers of the hotel, returned and lived out her remaining years at the hotel. She died in the early '50s in one of the upstairs bedrooms. Many people have reported seeing her stand in the upstairs window looking onto the village. In 1979 Ted Strzempek bought the lamplight he said he was in the upstairs hallway painting when a women in a white dress ran by him and through all the boxes he had stacked by the wall she ran into a bedroom and he ran in after her only to find an empty room. The Murphy's now own the lamplight and if you ask them if the lamplight is haunted they will not deny it.	Murphy's Lamplight Inn	Michigan	MI	-85.264923	45.0720901	-85.2645105	45.0700047	1924/01/01
Charlevoix	United States	This spot is said to be haunted by a ghost believed to be in his late teens to early 20's who died in the grinder of the old mill that used to stand on the site.	Weathervane Restaurant	Michigan	MI	-85.25928429999999	45.3192451	-85.2584004	45.3180632	2025/01/01
Charlotte	United States	when you are in the bottom of the theatre you will feel a coldness breeze and people say that is Rick Eaton the theatre was named after him. he died in 1923 and the theatre was built in 1902. Rick was a nice guy and his poor wife killed herself on the bottom below the upstairs and she shot herself and the bottom was where Rick died. he was up on the little balcony in the bottom and he was painting and he fell off.	Eaton Theatre	Michigan	MI	-84.8354913	42.56126099999999	-84.83582109999999	42.5636478	1923/01/01
Charlotte	United States	people say that in the Charlotte Jr. High the old ISS room use to be a freezer room. They say back in the 60's a older man that was a teacher threw a kid in the freezer room. He got frostbitten and dies! Now the kids there say when they get in trouble and go in the ISS room the little boy haunts them.	Old Charlotte Jr. High	Michigan	MI	-84.85648599999999	42.5556987	-84.83582109999999	42.5636478	2025/01/01
Cheboygan	United States	An old farmer went insane and killed his family and then himself. If you go out to the site at night you feel overwhelmed by fright. And never take a stone from the tomb you will be dealt with in a not so nice matter. 2 people drove over the tomb on purpose and there truck just died for no reason. There friends in a car behind them had the steering wheel jerked and they crashed into a tree.	Hikyes Tomb	Michigan	MI			-84.4744795	45.64695630000001	2025/02/28
Cheboygan	United States	January 2007 has been removed	Pellston	Michigan	MI	-84.7839364	45.552789	-84.4744795	45.64695630000001	2007/01/01
Cheboygan	United States	"Years ago there was a terrible train accident and when the train tipped over there was a man who was badly hurt and the wreck jogged his mind so much that he started to beat his skull against the stump of an old tree. In the process of doing so, he asked himself ""why am I hear""?. Well, he beat himself to death until his skull cracked wide open. At 1:00am in the morning you can still hear the ghost of the man saying why am I here as he beats his head on the stump."	Where the old Train Station used to be	Michigan	MI			-84.4744795	45.64695630000001	2025/02/24
Chelsea	United States	Reports that lockers slam when no ones there and in the girls bathroom you here the toilets flush and whispers heard and behind the stage you can feel an odd presents in there when your alone.	Beach Middle School	Michigan	MI	-84.0096366	42.3182386	-84.0205029	42.3180919	2025/01/01
Chelsea	United States	in the dark, you can feel an odd presence of someone else there with you. There have been reports of ghost sitings near the operation rooms.	Chelsea hospital	Michigan	MI	-84.0165056	42.3104227	-84.0205029	42.3180919	2025/01/01
Chelsea	United States	The foundation of the house is still there. They say at night the house reappears. Also at the back of the house, there are slave house's and old barn which are said to be haunted.	Pink Palace	Michigan	MI			-84.0205029	42.3180919	2025/01/01
Chesaning	United States	Store merchandise has been found moved when stores are opened in the morning. Employees hair pulled, employee shoved, voices can be heard at night. A Santa decoration was seen by 3 eye witnesses as it lifted from a table and was sat down on the floor outside a store. Transparent images of a woman and man seen separately over periods of time. Numerous unexplainable events occurring since mall opened in 1985. Unknown before this date. A smallpox outbreak in 1837 devastated some of the last remaining Indians in this area before the village of Chesaning was started.	Chesaning Market Street Square (a mini mall with indoor shops)	Michigan	MI			-84.11497469999999	43.1847483	1985/01/01
Clarksdale	United States	It is said that late at night if you go over the Sunflower Bridge...turn off your car and roll down your windows that the cries of help and people yelling could be heard.	Sunflower Bridge	Michigan	MI	-83.3426114	42.7150605	-83.4192941	42.7351196	2025/01/01
Clarkston	United States	Closed Down- Sightings of people around the cinema. scratching and bumping noises heard every night. Shadows of people running on the screen. Little girl sits on the stage.	Clarkston Cinema	Michigan	MI	-83.43415	42.660509	-83.4192941	42.7351196	2025/01/01
Clarkston	United States	In the late 1800 a man was slaughtered off of what is now dixie and white lake road. Reports from employee's say that the man comes out at night and walks towards deer lake raquet club and back to cvs.	CVS off dixie us 20	Michigan	MI	-83.426161	42.7229641	-83.4192941	42.7351196	1800/01/01
Clinton Township	United States	In the woods right off Hayes and 18 there is a small cemetery that has about 30 stones, most of them dating back to the 1800's and its said that if you come alone to the cemetery at 12:00 at night on a Friday you will very loud whispers in the woods that corner the whole cemetery and if you brave enough to stay longer the whispers come closer until there right in front of your face	18 mile road and Hayes	Michigan	MI	-82.97202519999999	42.5975415	-82.9195514	42.5868882	1800/01/01
